X,Y,fid,ENUMBER,BOROCODE,TAXBLOCK,TAXLOT,CEQR_NUM,ULURP_NUM,ZONING_MAP,DESCRIPTIO,BBL,x,y
998348.843651026,198293.222887937,7136,E-232,3,"2,785","27","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,850,027",998348.844,198293.223
998692.111264511,198323.264888264,7137,E-232,3,"2,786","19","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,860,019",998692.111,198323.265
998975.872346382,198360.397856916,7138,E-232,3,"2,787","10","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,870,010",998975.872,198360.398
997935.50753966,197952.783978992,7143,E-232,3,"2,791","6","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,910,006",997935.508,197952.784
998107.030069137,199280.970956106,4791,E-232,3,"2,761","64","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,610,064",998107.030,199280.971
998846.071683702,199296.540934256,5467,E-232,3,"2,763","1","09DCP056K",C090334ZMK,,Window Wall Attenuation & Alternate Ventilation,"3,027,630,001",998846.072,199296.541
997997.398750792,199296.595902389,4788,E-232,3,"2,761","21","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,610,021",997997.399,199296.596
998197.601626871,199299.772804617,4790,E-232,3,"2,761","34","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,610,034",998197.602,199299.773
998043.699967853,199339.933674786,5465,E-232,3,"2,761","22","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,610,022",998043.700,199339.934
998095.562040464,199343.176851228,4789,E-232,3,"2,761","25","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,610,025",998095.562,199343.177
998350.344109078,199349.625372125,4792,E-232,3,"2,762","3","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,620,003",998350.344,199349.625
998388.594823967,199354.494485923,4793,E-232,3,"2,762","5","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,620,005",998388.595,199354.494
998412.795852485,199357.57506238,4794,E-232,3,"2,762","6","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,620,006",998412.796,199357.575
998438.128820502,199360.799689771,4795,E-232,3,"2,762","7","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,620,007",998438.129,199360.800
998487.920922308,199367.138239349,4796,E-232,3,"2,762","9","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,620,009",998487.921,199367.138
998513.495628125,199370.393743848,4797,E-232,3,"2,762","10","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,620,010",998513.496,199370.394
998539.065701466,199373.648607949,4798,E-232,3,"2,762","11","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,620,011",998539.066,199373.649
998562.670812679,199376.653989303,4799,E-232,3,"2,762","12","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,620,012",998562.671,199376.654
998587.163291758,199379.771294697,4800,E-232,3,"2,762","13","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,620,013",998587.163,199379.771
998713.386069047,199382.985738417,5466,E-232,3,"2,762","18","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,620,018",998713.386,199382.986
998613.000583689,199383.060053378,4801,E-232,3,"2,762","14","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,620,014",998613.001,199383.060
998687.029924207,199392.483781811,4803,E-232,3,"2,762","17","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,620,017",998687.030,199392.484
998895.60705847,199417.389025372,4804,E-232,3,"2,763","13","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,630,013",998895.607,199417.389
998970.234388789,199426.861370759,5468,E-232,3,"2,763","16","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,630,016",998970.234,199426.861
998995.233965111,199430.034455583,5469,E-232,3,"2,763","17","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,630,017",998995.234,199430.034
999021.374321517,199433.352628011,5470,E-232,3,"2,763","18","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,630,018",999021.374,199433.353
998082.248517412,199513.212601065,5444,E-232,3,"2,756","33","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,560,033",998082.249,199513.213
998191.056929917,199559.229990539,4750,E-232,3,"2,756","25","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,560,025",998191.057,199559.230
998666.260633146,199560.723688964,5445,E-232,3,"2,757","25","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,570,025",998666.261,199560.724
998691.721801953,199563.087466591,7099,E-232,3,"2,757","24","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,570,024",998691.722,199563.087
998873.772453691,199588.055755514,5455,E-232,3,"2,758","39","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,580,039",998873.772,199588.056
998786.956499426,199611.314304159,5454,E-232,3,"2,758","4","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,580,004",998786.956,199611.314
997970.585466308,199992.619667812,5442,E-138,3,"2,746","41","04DCP003K","C050111ZMK; C050111AZMK; N050110ZRK; N050110AZRK",,Underground Gasoline Storage Tanks* Testing Protocol.,"3,027,460,041",997970.585,199992.620
997995.605922344,199995.66882032,7096,E-138,3,"2,746","40","04DCP003K","C050111ZMK; C050111AZMK; N050110ZRK; N050110AZRK",,Underground Gasoline Storage Tanks* Testing Protocol.,"3,027,460,040",997995.606,199995.669
998017.556980397,200070.158381765,4743,E-138,3,"2,746","39","04DCP003K","C050111ZMK; C050111AZMK; N050110ZRK; N050110AZRK",,Underground Gasoline Storage Tanks* Testing Protocol.,"3,027,460,039",998017.557,200070.158
998830.740230966,199582.75250593,7100,E-232,3,"2,758","41","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,580,041",998830.740,199582.753
998119.187972283,199344.654355657,7105,E-232,3,"2,761","26","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,610,026",998119.188,199344.654
998209.37114473,199270.003266058,7106,E-232,3,"2,761","35","09DCP056K",C090334ZMK,,"Hazardous Materials* Phase I and Phase II Testing Protocol;Window Wall Attenuation & Alternate Ventilation","3,027,610,035",998209.371,199270.003
998681.864795343,200619.429205783,4738,E-138,3,"2,738","3","04DCP003K","C050111ZMK; C050111AZMK; N050110ZRK; N050110AZRK",,Underground Gasoline Storage Tanks* Testing Protocol.,"3,027,380,003",998681.865,200619.429
998684.977383806,200666.479743857,5424,E-138,3,"2,738","5","04DCP003K","C050111ZMK; C050111AZMK; N050110ZRK; N050110AZRK",,Underground Gasoline Storage Tanks* Testing Protocol.,"3,027,380,005",998684.977,200666.480
998975.19065784,200707.110757908,5428,E-138,3,"2,738","7,502","04DCP003K","C050111ZMK; C050111AZMK; N050110ZRK; N050110AZRK",,Underground Gasoline Storage Tanks* Testing Protocol.,"3,027,387,502",998975.191,200707.111
