X,Y,fid,ID_NUMBER,FACILITY_NAME,ACTIVITY_LOCATION,FULL_ENFORCEMENT,HREPORT_UNIVERSE_RECORD,STREET_ADDRESS,CITY_NAME,STATE_CODE,ZIP_CODE,LATITUDE83,LONGITUDE83,FED_WASTE_GENERATOR,TRANSPORTER,ACTIVE_SITE,OPERATING_TSDF
1000286.62444563,198344.698463779,294564,NYD987020682,V C CLEANERS,NY,------,Other,203 MAUSER ST,BROOKLYN,NY,"11206",40.711072,-73.942155,N  ,N  ,-----,------         
1000599.60583815,198370.410888604,335539,NYR000000141,NYCHA - WILLIAMSBURG HOUSES,NY,------,Other,214 MAUJER ST BLDG #16,BROOKLYN,NY,"11206",40.711142,-73.941026,N  ,N  ,-----,------         
1002004.77770927,198551.743915262,735701,NYP005153127,CON EDISON - MANHOLE M63280,NY,------,Other,374 TEN EYCK ST,BROOKLYN,NY,"11206",40.711637,-73.935957,N  ,N  ,-----,------         
1000195.79539873,198607.685436912,307657,NYR000033357,GRAND CLEANERS,NY,------,SQG,765 GRAND ST,BROOKLYN,NY,"11211",40.711794,-73.942482,"2  ",N  ,H----,------         
999799.903295889,198614.350290277,318886,NYR000155788,NYSDOT BIN 106560A,NY,------,LQG,I-278 EB OVER GRAHAM AVE,BROOKLYN,NY,"11222",40.711813,-73.94391,"1  ",N  ,H----,------         
999799.903295889,198614.350290277,291607,NYR000155796,NYSDOT BIN 106560B,NY,------,LQG,I-278 WB OVER GRAHAM AVE,BROOKLYN,NY,"11222",40.711813,-73.94391,"1  ",N  ,H----,------         
1000538.98859813,198638.15329658,298546,NYD982271769,RHEE & NURYS DRY CLEANERS,NY,------,Other,802 GRAND ST,BROOKLYN,NY,"11211",40.711877,-73.941244,N  ,N  ,-----,------         
1000948.66805773,198738.987631968,292477,NY0001039668,NYC DEPT OF EDUCATION HS 450K,NY,------,SQG,850 GRAND ST,BROOKLYN,NY,"11211",40.712153,-73.939766,"2  ",N  ,H----,------         
1002450.33482619,198862.848884459,459475,NYP004188058,CON EDISON - MANHOLE 260,NY,------,Other,240 MORGAN AVE,BROOKLYN,NY,"11237",40.71249,-73.934349,N  ,N  ,-----,------         
1001342.24501708,198867.871002074,307341,NYR000155762,NYSDOT BIN 1065549,NY,------,LQG,GRAND ST OVER I-278,BROOKLYN,NY,"11211",40.712506,-73.938346,"1  ",N  ,H----,------         
1002194.72020046,198875.045451863,494957,NYP004764353,CON EDISON,NY,------,Other,344 MAUJER ST,BROOKLYN,NY,"11206",40.712524,-73.935271,N  ,N  ,-----,------         
1002194.44216201,198876.138238933,465602,NYP004185781,CON EDISON - MANHOLE 263,NY,------,Other,344 MAUJER STREET,BROOKLYN,NY,"11206",40.712527,-73.935272,N  ,N  ,-----,------         
1001380.21847543,198877.734763955,298088,NYD986987600,900 GRAND STREET MILK LLC,NY,------,VSQG,900 GRAND ST,BROOKLYN,NY,"11211",40.712533,-73.938209,"3  ",N  ,H----,------         
999280.087856262,199069.071489205,303522,NYR000155804,NYSDOT BIN 1065609,NY,------,LQG,I-278 OVER MANHATTAN AVE,BROOKLYN,NY,"11222",40.713062,-73.945784,"1  ",N  ,H----,------         
1001119.19339303,199096.514514838,721784,NYP004550364,CON EDISON SERVICE BOX: 16523,NY,------,Other,269 POWERS ST,BROOKLYN,NY,"11211",40.713134,-73.93915,N  ,N  ,-----,------         
1002232.21792916,199151.96483524,291701,NYD074359829,RUEBRO MFG COMPANY INC,NY,------,Other,1002 GRAND ST,BROOKLYN,NY,11211-2707,40.713284,-73.935135,N  ,N  ,-----,------         
1002318.9092807,199259.871329789,299719,NYP004037743,CONSOLIDATED EDISON INC - V2287,NY,------,Other,242 MORGAN AVE,BROOKLYN,NY,"11233",40.71358,-73.934822,N  ,N  ,-----,------         
